scf	len	male_coverage	female_coverage	chr
LJIJ01000098.1	298327	100.83	54.26	A
LJIJ01000099.1	296377	51.94	54.91	X
LJIJ01000100.1	296235	103.66	57.61	A
LJIJ01000101.1	294157	105.86	59.18	A
LJIJ01000102.1	293064	97.15	53.83	A
LJIJ01000103.1	292273	57.08	58.38	X
LJIJ01000104.1	292074	52.42	57.19	X
LJIJ01000105.1	291859	105.23	57.30	A
LJIJ01000106.1	285298	103.15	57.62	A
LJIJ01000107.1	283403	104.04	59.28	A
LJIJ01000108.1	282444	101.14	53.23	A
LJIJ01000109.1	280123	52.13	56.42	X
LJIJ01000110.1	279898	66.26	57.73	X
LJIJ01000111.1	279824	77.93	55.08	A
LJIJ01000112.1	278018	102.35	55.85	A
LJIJ01000113.1	277824	77.83	57.85	A
LJIJ01000114.1	274523	57.31	60.56	X
LJIJ01000115.1	274290	101.03	55.28	A
LJIJ01000116.1	273409	57.01	61.99	X
LJIJ01000117.1	272230	104.92	58.50	A
LJIJ01000118.1	272213	98.22	57.51	A
LJIJ01000119.1	270837	53.98	55.27	X
LJIJ01000120.1	266937	105.54	59.84	A
LJIJ01000121.1	266835	97.28	54.32	A
LJIJ01000122.1	262835	103.58	58.93	A
LJIJ01000123.1	260689	108.90	57.60	A
LJIJ01000124.1	257888	99.83	55.56	A
LJIJ01000125.1	257802	109.59	58.27	A
LJIJ01000126.1	257563	99.16	53.88	A
LJIJ01000127.1	257562	104.40	57.59	A
LJIJ01000128.1	255191	52.76	51.42	X
LJIJ01000129.1	254958	55.11	56.62	X
LJIJ01000130.1	254492	56.56	61.92	X
LJIJ01000131.1	251801	102.68	57.48	A
LJIJ01000132.1	248694	102.56	58.20	A
LJIJ01000133.1	248296	109.80	58.25	A
LJIJ01000134.1	248056	58.10	54.83	X
LJIJ01000135.1	244593	105.58	57.31	A
LJIJ01000136.1	244479	103.95	57.16	A
LJIJ01000137.1	244179	100.90	56.20	A
LJIJ01000138.1	241961	103.54	56.41	A
LJIJ01000139.1	241526	97.83	55.57	A
LJIJ01000140.1	241000	51.60	55.17	X
LJIJ01000141.1	240499	102.43	55.05	A
LJIJ01000142.1	240126	109.79	57.41	A
LJIJ01000143.1	235171	104.43	55.70	A
LJIJ01000144.1	233880	50.92	57.59	X
LJIJ01000145.1	232042	101.90	54.70	A
LJIJ01000146.1	229833	102.77	55.00	A
LJIJ01000147.1	228866	102.07	59.42	A
LJIJ01000148.1	228612	102.48	55.85	A
LJIJ01000149.1	226947	114.41	60.22	A
LJIJ01000150.1	226606	102.60	53.56	A
LJIJ01000151.1	226519	53.45	54.99	X
LJIJ01000152.1	226492	95.91	51.39	A
LJIJ01000153.1	224812	58.92	55.40	X
LJIJ01000154.1	222207	104.05	57.61	A
LJIJ01000155.1	220789	102.90	55.59	A
LJIJ01000156.1	220040	50.42	52.98	X
LJIJ01000157.1	219943	54.31	58.04	X
LJIJ01000158.1	219451	104.74	58.11	A
LJIJ01000159.1	219009	106.46	56.49	A
LJIJ01000160.1	218762	102.02	58.39	A
LJIJ01000161.1	218561	105.83	53.93	A
LJIJ01000162.1	217638	107.57	55.22	A
LJIJ01000163.1	217262	52.15	57.33	X
LJIJ01000164.1	215825	106.11	59.23	A
LJIJ01000165.1	213850	57.55	58.13	X
LJIJ01000166.1	211215	102.06	55.02	A
LJIJ01000167.1	211121	101.00	55.47	A
LJIJ01000168.1	210990	98.22	54.85	A
LJIJ01000169.1	210933	56.42	56.85	X
LJIJ01000170.1	210058	108.64	59.92	A
LJIJ01000171.1	207232	52.33	53.70	X
LJIJ01000172.1	207120	104.21	57.09	A
LJIJ01000173.1	206954	52.31	59.04	X
LJIJ01000174.1	206064	106.81	56.74	A
LJIJ01000175.1	204743	92.39	52.01	A
LJIJ01000176.1	204551	109.68	62.23	A
LJIJ01000177.1	204051	99.76	53.75	A
LJIJ01000178.1	202132	52.74	58.86	X
LJIJ01000179.1	197628	98.11	56.66	A
LJIJ01000180.1	196257	55.86	57.13	X
LJIJ01000181.1	195191	97.75	55.67	A
LJIJ01000182.1	193922	97.28	51.60	A
LJIJ01000183.1	190990	99.80	57.32	A
LJIJ01000184.1	188867	102.49	54.72	A
LJIJ01000185.1	188163	105.87	60.69	A
LJIJ01000186.1	188097	107.38	59.59	A
LJIJ01000187.1	186913	100.93	51.91	A
LJIJ01000188.1	185272	101.80	54.41	A
LJIJ01000189.1	182961	103.88	56.75	A
LJIJ01000190.1	182943	103.17	52.54	A
LJIJ01000191.1	181583	50.29	51.37	X
LJIJ01000192.1	180602	93.94	52.72	A
LJIJ01000193.1	180122	103.99	57.19	A
LJIJ01000194.1	179907	102.43	55.73	A
LJIJ01000195.1	179458	100.06	56.48	A
LJIJ01000196.1	178733	97.78	53.84	A
LJIJ01000197.1	178314	105.47	56.11	A
LJIJ01000198.1	178158	51.14	55.96	X
LJIJ01000199.1	178147	99.19	54.05	A
LJIJ01000200.1	178012	90.52	49.34	A
LJIJ01000201.1	177974	60.10	58.30	X
LJIJ01000202.1	177640	52.55	55.39	X
LJIJ01000203.1	177330	50.75	54.58	X
LJIJ01000204.1	176921	99.72	51.53	A
LJIJ01000205.1	176576	55.47	57.58	X
LJIJ01000206.1	176216	100.17	54.60	A
LJIJ01000207.1	176008	106.35	59.13	A
LJIJ01000208.1	175886	52.62	53.01	X
LJIJ01000209.1	175774	93.39	51.60	A
LJIJ01000210.1	175675	104.88	55.31	A
LJIJ01000211.1	175547	99.48	57.08	A
LJIJ01000212.1	174732	101.84	54.85	A
LJIJ01000213.1	174038	89.16	59.42	A
LJIJ01000214.1	173783	100.38	55.31	A
LJIJ01000215.1	173725	100.33	56.27	A
LJIJ01000216.1	172703	51.01	57.96	X
LJIJ01000217.1	171881	103.98	54.12	A
LJIJ01000218.1	171609	53.36	58.52	X
LJIJ01000219.1	171474	55.43	57.85	X
LJIJ01000220.1	171381	51.99	55.03	X
LJIJ01000221.1	171248	101.34	53.86	A
LJIJ01000222.1	170043	59.02	57.77	X
LJIJ01000223.1	169868	106.36	57.67	A
LJIJ01000224.1	169771	100.15	55.56	A
LJIJ01000225.1	169113	102.78	55.36	A
LJIJ01000226.1	169017	97.84	58.67	A
LJIJ01000227.1	168662	60.22	58.88	X
LJIJ01000228.1	168580	101.83	54.10	A
LJIJ01000229.1	168334	102.59	57.07	A
LJIJ01000230.1	167959	106.13	59.14	A
LJIJ01000231.1	167541	98.25	52.95	A
LJIJ01000232.1	167462	57.44	56.39	X
LJIJ01000233.1	166005	103.06	56.30	A
LJIJ01000234.1	165958	94.61	54.99	A
LJIJ01000235.1	165192	53.00	56.57	X
LJIJ01000236.1	165177	108.82	62.59	A
LJIJ01000237.1	165034	52.68	56.26	X
LJIJ01000238.1	164845	96.69	52.93	A
LJIJ01000239.1	164054	122.16	61.20	A
LJIJ01000240.1	163758	95.63	54.77	A
LJIJ01000241.1	163309	112.24	58.67	A
LJIJ01000242.1	162967	100.89	53.48	A
LJIJ01000243.1	162735	51.48	56.35	X
LJIJ01000244.1	162691	53.29	55.07	X
LJIJ01000245.1	162672	86.47	59.04	A
LJIJ01000246.1	162271	52.02	56.86	X
LJIJ01000247.1	162229	103.55	56.26	A
LJIJ01000248.1	162157	104.84	54.98	A
LJIJ01000249.1	161857	95.69	56.46	A
LJIJ01000250.1	161711	95.97	49.68	A
LJIJ01000251.1	161332	97.38	53.73	A
LJIJ01000252.1	161087	103.11	57.48	A
LJIJ01000253.1	160996	109.73	58.64	A
LJIJ01000254.1	160901	99.67	58.63	A
LJIJ01000255.1	160521	101.64	58.70	A
LJIJ01000256.1	160471	101.57	55.21	A
LJIJ01000257.1	159973	100.29	55.66	A
LJIJ01000258.1	159646	48.14	50.88	X
LJIJ01000259.1	159373	99.84	55.49	A
LJIJ01000260.1	159093	103.40	54.90	A
LJIJ01000261.1	158896	95.85	56.17	A
LJIJ01000262.1	158706	100.68	58.78	A
LJIJ01000263.1	158529	96.44	54.21	A
LJIJ01000264.1	158462	110.29	57.67	A
LJIJ01000265.1	158244	100.63	54.85	A
LJIJ01000266.1	158213	58.76	57.62	X
LJIJ01000267.1	157922	51.19	57.23	X
LJIJ01000268.1	157884	101.54	53.68	A
LJIJ01000269.1	157533	95.21	53.31	A
LJIJ01000270.1	157438	99.78	56.98	A
LJIJ01000271.1	157065	95.38	53.23	A
LJIJ01000272.1	156954	99.81	55.26	A
LJIJ01000273.1	156825	102.97	58.35	A
LJIJ01000274.1	156767	102.34	56.11	A
LJIJ01000275.1	156671	47.45	51.59	X
LJIJ01000276.1	156448	84.07	50.74	A
LJIJ01000277.1	155905	99.80	69.70	A
LJIJ01000278.1	155869	107.43	54.10	A
LJIJ01000279.1	155369	100.52	56.89	A
LJIJ01000280.1	155152	101.12	56.31	A
LJIJ01000281.1	154664	97.67	56.03	A
LJIJ01000282.1	154625	95.91	52.72	A
LJIJ01000283.1	153923	92.73	50.90	A
LJIJ01000284.1	153860	94.89	52.46	A
LJIJ01000285.1	153836	99.39	55.79	A
LJIJ01000286.1	152981	84.87	53.60	A
LJIJ01000287.1	152104	87.25	42.26	A
LJIJ01000288.1	151803	98.40	50.70	A
LJIJ01000289.1	151473	84.39	53.37	A
LJIJ01000290.1	151251	97.12	59.58	A
LJIJ01000291.1	151137	54.12	59.72	X
LJIJ01000292.1	151134	98.24	52.41	A
LJIJ01000293.1	150499	102.39	60.35	A
LJIJ01000294.1	149746	106.20	59.16	A
LJIJ01000295.1	149603	100.93	54.11	A
LJIJ01000296.1	149426	101.27	55.24	A
LJIJ01000297.1	149133	55.08	53.01	X
LJIJ01000298.1	149014	97.99	55.13	A
LJIJ01000299.1	148697	98.70	54.69	A
LJIJ01000300.1	148183	99.24	56.31	A
LJIJ01000301.1	147851	53.33	55.99	X
LJIJ01000302.1	147561	102.72	56.60	A
LJIJ01000303.1	147369	92.76	45.95	A
LJIJ01000304.1	146326	97.79	54.83	A
LJIJ01000305.1	146174	98.49	53.91	A
LJIJ01000306.1	145843	95.97	52.76	A
LJIJ01000307.1	145406	100.32	55.01	A
LJIJ01000308.1	144959	99.64	54.92	A
LJIJ01000309.1	144826	49.68	52.96	X
LJIJ01000310.1	144759	92.12	53.08	A
LJIJ01000311.1	144446	125.42	52.17	A
LJIJ01000312.1	143582	53.37	55.93	X
LJIJ01000313.1	143543	103.56	55.08	A
LJIJ01000314.1	143534	102.51	55.73	A
LJIJ01000315.1	143146	61.33	56.23	X
LJIJ01000316.1	142916	52.77	51.61	X
LJIJ01000317.1	141833	112.21	57.24	A
LJIJ01000318.1	141808	100.93	54.33	A
LJIJ01000319.1	141666	100.18	56.04	A
LJIJ01000320.1	141600	110.00	56.59	A
LJIJ01000321.1	141390	94.86	53.16	A
LJIJ01000322.1	141380	97.06	55.21	A
LJIJ01000323.1	141218	94.00	51.14	A
LJIJ01000324.1	141067	49.57	52.69	X
LJIJ01000325.1	140968	89.59	51.89	A
LJIJ01000326.1	140757	51.36	53.07	X
LJIJ01000327.1	140397	94.16	51.08	A
LJIJ01000328.1	140176	52.99	60.08	X
LJIJ01000329.1	139749	52.80	53.72	X
LJIJ01000330.1	139526	101.67	58.51	A
LJIJ01000331.1	139443	101.58	57.32	A
LJIJ01000332.1	139224	100.76	50.92	A
LJIJ01000333.1	137780	102.52	55.93	A
LJIJ01000334.1	137772	93.75	50.75	A
LJIJ01000335.1	137561	91.21	51.38	A
LJIJ01000336.1	137201	109.01	63.24	A
LJIJ01000337.1	137188	101.69	55.00	A
LJIJ01000338.1	136967	98.47	55.48	A
LJIJ01000339.1	136770	50.72	56.39	X
LJIJ01000340.1	136665	100.11	55.80	A
LJIJ01000341.1	136340	99.26	54.70	A
LJIJ01000342.1	136127	92.14	58.63	A
LJIJ01000343.1	135923	103.64	58.96	A
LJIJ01000344.1	135874	96.21	50.88	A
LJIJ01000345.1	135726	121.74	39.40	A
LJIJ01000346.1	135683	91.13	49.28	A
LJIJ01000347.1	135334	103.43	54.54	A
LJIJ01000348.1	135202	82.29	62.42	A
LJIJ01000349.1	135101	96.62	53.24	A
LJIJ01000350.1	135008	102.95	53.21	A
LJIJ01000351.1	134596	96.63	58.59	A
LJIJ01000352.1	134585	107.62	56.64	A
LJIJ01000353.1	134402	102.70	55.73	A
LJIJ01000354.1	134283	91.48	50.14	A
LJIJ01000355.1	134185	50.32	53.42	X
LJIJ01000356.1	133808	97.77	54.32	A
LJIJ01000357.1	133782	53.73	59.23	X
LJIJ01000358.1	133354	97.25	50.81	A
LJIJ01000359.1	132963	52.96	58.29	X
LJIJ01000360.1	132959	101.25	56.28	A
LJIJ01000361.1	132928	103.00	57.78	A
LJIJ01000362.1	132854	104.16	53.36	A
LJIJ01000363.1	132591	95.61	51.93	A
LJIJ01000364.1	132229	104.98	58.68	A
LJIJ01000365.1	131993	101.51	53.35	A
LJIJ01000366.1	131677	114.48	60.71	A
LJIJ01000367.1	131608	50.90	55.40	X
LJIJ01000368.1	131552	96.19	53.31	A
LJIJ01000369.1	131455	96.01	53.66	A
LJIJ01000370.1	131074	53.29	58.17	X
LJIJ01000371.1	130897	99.32	57.80	A
LJIJ01000372.1	130843	54.43	59.87	X
LJIJ01000373.1	130770	101.44	56.88	A
LJIJ01000374.1	130346	93.83	52.92	A
LJIJ01000375.1	130002	101.89	57.57	A
LJIJ01000376.1	129823	54.38	58.07	X
LJIJ01000377.1	129465	100.44	57.88	A
LJIJ01000378.1	129371	100.83	51.72	A
LJIJ01000379.1	129337	54.80	56.93	X
LJIJ01000380.1	129268	98.80	53.10	A
LJIJ01000381.1	128555	91.85	47.20	A
LJIJ01000382.1	127951	50.91	57.10	X
LJIJ01000383.1	127847	97.46	54.54	A
LJIJ01000384.1	127485	86.95	55.73	A
LJIJ01000385.1	127442	95.65	51.14	A
LJIJ01000386.1	127326	99.42	47.01	A
LJIJ01000387.1	127022	102.77	59.54	A
LJIJ01000388.1	126786	46.54	52.70	X
LJIJ01000389.1	126709	95.60	53.33	A
LJIJ01000390.1	126133	54.53	59.44	X
LJIJ01000391.1	125754	107.94	55.82	A
LJIJ01000392.1	125317	93.69	51.41	A
LJIJ01000393.1	124824	100.92	54.96	A
LJIJ01000394.1	124823	96.35	54.04	A
LJIJ01000395.1	124507	98.34	51.46	A
LJIJ01000396.1	124392	50.61	49.13	X
LJIJ01000397.1	124339	106.83	59.71	A
LJIJ01000398.1	124326	51.84	56.76	X
LJIJ01000399.1	124173	101.11	54.52	A
LJIJ01000400.1	123876	90.27	47.59	A
LJIJ01000401.1	123718	103.67	57.75	A
LJIJ01000402.1	123583	93.62	54.15	A
LJIJ01000403.1	123357	98.78	57.02	A
LJIJ01000404.1	123337	93.48	51.65	A
LJIJ01000405.1	123179	49.36	55.83	X
LJIJ01000406.1	123156	101.19	54.70	A
LJIJ01000407.1	122988	63.85	54.69	X
LJIJ01000408.1	122927	99.11	53.73	A
LJIJ01000409.1	122656	96.32	48.74	A
LJIJ01000410.1	122571	109.20	64.40	A
LJIJ01000411.1	122448	98.86	54.22	A
LJIJ01000412.1	122338	99.99	52.89	A
LJIJ01000413.1	122228	57.47	58.16	X
LJIJ01000414.1	122163	93.34	47.36	A
LJIJ01000415.1	121313	92.33	55.69	A
LJIJ01000416.1	121148	107.71	61.65	A
LJIJ01000417.1	120911	102.68	58.38	A
LJIJ01000418.1	120751	102.32	55.21	A
LJIJ01000419.1	120508	86.51	45.29	A
LJIJ01000420.1	120497	101.65	56.12	A
LJIJ01000421.1	120297	93.14	49.83	A
LJIJ01000422.1	120284	106.09	58.20	A
LJIJ01000423.1	120175	86.33	50.64	A
LJIJ01000424.1	120023	50.91	53.07	X
LJIJ01000425.1	120005	95.18	49.49	A
LJIJ01000426.1	119980	47.39	48.01	X
LJIJ01000427.1	119627	119.90	55.74	A
LJIJ01000428.1	119438	96.30	56.32	A
LJIJ01000429.1	119334	101.93	56.80	A
LJIJ01000430.1	119159	102.13	55.97	A
LJIJ01000431.1	118924	97.35	51.77	A
LJIJ01000432.1	118915	95.61	53.17	A
LJIJ01000433.1	118841	105.22	53.74	A
LJIJ01000434.1	118818	98.96	55.52	A
LJIJ01000435.1	118802	126.43	72.82	A
LJIJ01000436.1	118678	99.98	55.06	A
LJIJ01000437.1	118529	106.46	56.16	A
LJIJ01000438.1	118080	98.80	55.20	A
LJIJ01000439.1	118011	126.82	62.74	A
LJIJ01000440.1	117935	98.10	56.17	A
LJIJ01000441.1	117728	50.68	54.50	X
LJIJ01000442.1	117606	95.74	53.69	A
LJIJ01000443.1	117437	99.60	55.12	A
LJIJ01000444.1	117192	102.89	54.73	A
LJIJ01000445.1	116915	105.96	54.48	A
LJIJ01000446.1	116865	51.71	56.80	X
LJIJ01000447.1	116725	93.52	50.79	A
LJIJ01000448.1	116538	49.19	54.04	X
LJIJ01000449.1	116345	106.16	58.49	A
LJIJ01000450.1	116103	95.63	59.48	A
LJIJ01000451.1	115700	91.35	49.16	A
LJIJ01000452.1	115483	107.60	55.82	A
LJIJ01000453.1	115191	85.78	47.03	A
LJIJ01000454.1	115141	95.27	55.50	A
LJIJ01000455.1	115002	52.82	55.59	X
LJIJ01000456.1	114767	97.36	53.06	A
LJIJ01000457.1	114590	107.72	61.48	A
LJIJ01000458.1	114423	103.01	56.11	A
LJIJ01000459.1	113915	48.74	53.37	X
LJIJ01000460.1	113887	101.07	58.07	A
LJIJ01000461.1	113498	108.36	60.54	A
LJIJ01000462.1	113201	82.86	51.00	A
LJIJ01000463.1	112955	95.72	44.43	A
LJIJ01000464.1	112507	53.97	58.26	X
LJIJ01000465.1	112281	50.99	55.08	X
LJIJ01000466.1	111773	51.66	51.67	X
LJIJ01000467.1	111762	105.03	58.13	A
LJIJ01000468.1	111606	101.21	55.40	A
LJIJ01000469.1	111505	105.32	57.80	A
LJIJ01000470.1	111467	89.64	49.41	A
LJIJ01000471.1	111451	94.39	53.86	A
LJIJ01000472.1	111427	97.80	57.26	A
LJIJ01000473.1	111213	103.14	57.74	A
LJIJ01000474.1	111086	106.91	55.62	A
LJIJ01000475.1	111066	95.93	51.78	A
LJIJ01000476.1	111056	96.21	53.15	A
LJIJ01000477.1	110901	107.19	58.91	A
LJIJ01000478.1	110794	98.72	47.31	A
LJIJ01000479.1	110785	97.61	53.30	A
LJIJ01000480.1	110673	88.78	50.00	A
LJIJ01000481.1	110569	96.74	53.68	A
LJIJ01000482.1	110499	99.76	52.38	A
LJIJ01000483.1	110300	103.61	57.06	A
LJIJ01000484.1	109987	100.59	54.58	A
LJIJ01000485.1	109756	95.41	50.80	A
LJIJ01000486.1	109661	93.38	50.12	A
LJIJ01000487.1	109578	99.24	53.42	A
LJIJ01000488.1	109453	81.91	80.10	X
LJIJ01000489.1	109215	96.74	53.17	A
LJIJ01000490.1	109115	103.36	54.51	A
LJIJ01000491.1	108948	102.67	57.80	A
LJIJ01000492.1	108879	101.24	58.72	A
LJIJ01000493.1	108816	104.97	57.63	A
LJIJ01000494.1	108663	97.16	56.56	A
LJIJ01000495.1	108165	116.78	62.08	A
LJIJ01000496.1	108111	95.81	53.74	A
LJIJ01000497.1	108051	101.43	54.32	A
LJIJ01000498.1	107727	94.92	51.02	A
LJIJ01000499.1	107699	101.99	53.11	A
LJIJ01000500.1	107677	100.56	53.28	A
LJIJ01000501.1	107571	66.12	60.49	X
LJIJ01000502.1	107487	102.88	54.81	A
LJIJ01000503.1	107438	103.98	55.41	A
LJIJ01000504.1	107350	94.10	52.05	A
LJIJ01000505.1	106995	95.91	51.07	A
LJIJ01000506.1	106676	94.34	53.76	A
LJIJ01000507.1	106553	96.94	50.92	A
LJIJ01000508.1	106528	103.52	57.82	A
LJIJ01000509.1	106373	63.59	52.15	A
LJIJ01000510.1	106344	88.81	53.87	A
LJIJ01000511.1	106235	103.69	59.94	A
LJIJ01000512.1	106006	97.19	54.06	A
LJIJ01000513.1	105852	99.10	61.25	A
LJIJ01000514.1	105821	99.53	52.58	A
LJIJ01000515.1	105720	103.51	48.02	A
LJIJ01000516.1	105634	101.48	64.37	A
LJIJ01000517.1	105292	99.54	53.88	A
LJIJ01000518.1	105263	106.89	59.75	A
LJIJ01000519.1	105055	95.21	64.75	A
LJIJ01000520.1	105001	92.53	49.65	A
LJIJ01000521.1	104527	105.37	54.19	A
LJIJ01000522.1	104272	98.61	54.47	A
LJIJ01000523.1	104118	100.23	54.87	A
LJIJ01000524.1	103906	109.58	60.84	A
LJIJ01000525.1	103812	90.57	56.41	A
LJIJ01000526.1	103728	103.34	57.63	A
LJIJ01000527.1	103632	93.95	51.15	A
LJIJ01000528.1	103327	106.57	57.03	A
LJIJ01000529.1	103316	85.37	50.13	A
LJIJ01000530.1	103221	102.12	53.00	A
LJIJ01000531.1	103186	58.50	51.89	X
LJIJ01000532.1	103092	100.76	57.17	A
LJIJ01000533.1	103088	81.13	54.97	A
LJIJ01000534.1	102926	101.08	54.37	A
LJIJ01000535.1	102768	91.85	55.77	A
LJIJ01000536.1	102518	103.12	57.91	A
LJIJ01000537.1	102288	104.27	54.15	A
LJIJ01000538.1	101939	95.48	52.16	A
LJIJ01000539.1	101490	90.33	51.00	A
LJIJ01000540.1	101280	51.90	54.19	X
LJIJ01000541.1	101012	70.35	77.08	X
LJIJ01000542.1	100745	93.34	56.37	A
LJIJ01000543.1	100633	100.01	53.90	A
LJIJ01000544.1	100562	103.09	56.07	A
LJIJ01000545.1	100408	101.48	56.92	A
LJIJ01000546.1	100218	104.93	56.90	A
LJIJ01000547.1	100047	104.87	55.79	A
LJIJ01000548.1	99873	51.14	51.59	X
LJIJ01000549.1	99472	94.39	52.64	A
LJIJ01000550.1	99442	71.90	69.35	X
LJIJ01000551.1	99320	115.00	57.36	A
LJIJ01000552.1	99129	103.10	57.00	A
LJIJ01000553.1	99075	95.95	50.80	A
LJIJ01000554.1	99003	89.30	48.66	A
LJIJ01000555.1	98941	100.75	56.28	A
LJIJ01000556.1	98638	93.47	41.40	A
LJIJ01000557.1	98503	113.70	54.24	A
LJIJ01000558.1	98189	93.36	49.09	A
LJIJ01000559.1	98188	97.76	56.03	A
LJIJ01000560.1	98156	98.13	53.37	A
LJIJ01000561.1	98103	94.42	51.93	A
LJIJ01000562.1	98078	102.65	54.94	A
LJIJ01000563.1	97943	95.47	50.72	A
LJIJ01000564.1	97933	95.34	53.97	A
LJIJ01000565.1	97796	42.03	57.55	X
LJIJ01000566.1	97787	109.31	59.27	A
LJIJ01000567.1	97694	103.05	56.33	A
LJIJ01000568.1	97499	108.93	59.18	A
LJIJ01000569.1	97356	100.42	55.80	A
LJIJ01000570.1	97124	52.65	53.72	X
LJIJ01000571.1	97103	99.84	54.14	A
LJIJ01000572.1	96763	80.43	46.11	A
LJIJ01000573.1	96729	94.33	51.59	A
LJIJ01000574.1	96669	91.53	60.28	A
LJIJ01000575.1	96629	85.27	38.95	A
LJIJ01000576.1	96572	94.69	48.22	A
LJIJ01000577.1	96560	208.08	77.13	A
LJIJ01000578.1	95944	98.87	56.58	A
LJIJ01000579.1	95907	101.94	51.69	A
LJIJ01000580.1	95853	84.32	43.84	A
LJIJ01000581.1	95688	100.31	56.27	A
